TOP.59f1edc5.0006a9ae	START
TOP.59f1edc5.0006a9ae	user_options->scrypt_tmto	0
TOP.59f1edc5.0006a9ae	user_options->segment_size	33554432
TOP.59f1edc5.0006a9ae	user_options->show	0
TOP.59f1edc5.0006a9ae	user_options->status	0
TOP.59f1edc5.0006a9ae	user_options->status_timer	10
TOP.59f1edc5.0006a9ae	user_options->stdout_flag	0
TOP.59f1edc5.0006a9ae	user_options->speed_only	0
TOP.59f1edc5.0006a9ae	user_options->progress_only	0
TOP.59f1edc5.0006a9ae	user_options->usage	0
TOP.59f1edc5.0006a9ae	user_options->username	0
TOP.59f1edc5.0006a9ae	user_options->veracrypt_pim	0
TOP.59f1edc5.0006a9ae	user_options->version	0
TOP.59f1edc5.0006a9ae	user_options->weak_hash_threshold	100
TOP.59f1edc5.0006a9ae	user_options->workload_profile	2
TOP.59f1edc5.0006a9ae	hashes->hashfile	example500.hash
TOP.59f1edc5.0006a9ae	hashes->hashlist_mode	4
TOP.59f1edc5.0006a9ae	hashes->hashlist_format	0
TOP.59f1edc5.0006a9ae	hashes->hashes_cnt	0
TOP.59f1edc5.0006a9ae	hashes->digests_cnt	1
TOP.59f1edc5.0006a9ae	hashes->digests_done	0
TOP.59f1edc5.0006a9ae	hashes->salts_cnt	1
TOP.59f1edc5.0006a9ae	hashes->salts_done	0
TOP.59f1edc5.0006a9ae	SUB.59f1edc8.000c2802	START
TOP.59f1edc5.0006a9ae	SUB.59f1edc8.000c2802	straight_ctx->dict	example.dict
TOP.59f1edc5.0006a9ae	SUB.59f1edc8.000c2802	runtime_start	1509027273
TOP.59f1edc5.0006a9ae	SUB.59f1edc8.000c2802	runtime_stop	1509027273
TOP.59f1edc5.0006a9ae	SUB.59f1edc8.000c2802	status-after-work	5
TOP.59f1edc5.0006a9ae	SUB.59f1edc8.000c2802	STOP
TOP.59f1edc5.0006a9ae	proc_start	1509027269
TOP.59f1edc5.0006a9ae	proc_stop	1509027273
TOP.59f1edc5.0006a9ae	STOP
TOP.59f25b65.00047e02	START
TOP.59f25b65.00047e02	user_options->separator	:
TOP.59f25b65.00047e02	user_options->encoding_from	utf-8
TOP.59f25b65.00047e02	user_options->encoding_to	utf-8
TOP.59f25b65.00047e02	user_options->rule_buf_l	:
TOP.59f25b65.00047e02	user_options->rule_buf_r	:
TOP.59f25b65.00047e02	user_options->session	hashcat
TOP.59f25b65.00047e02	user_options->limit	0
TOP.59f25b65.00047e02	user_options->skip	0
TOP.59f25b65.00047e02	user_options->attack_mode	0
TOP.59f25b65.00047e02	user_options->benchmark	0
TOP.59f25b65.00047e02	user_options->bitmap_max	24
TOP.59f25b65.00047e02	user_options->bitmap_min	16
TOP.59f25b65.00047e02	user_options->debug_mode	0
TOP.59f25b65.00047e02	user_options->force	0
TOP.59f25b65.00047e02	user_options->gpu_temp_abort	90
TOP.59f25b65.00047e02	user_options->gpu_temp_disable	0
TOP.59f25b65.00047e02	user_options->gpu_temp_retain	0
TOP.59f25b65.00047e02	user_options->hash_mode	500
TOP.59f25b65.00047e02	user_options->hex_charset	0
TOP.59f25b65.00047e02	user_options->hex_salt	0
TOP.59f25b65.00047e02	user_options->hex_wordlist	0
TOP.59f25b65.00047e02	user_options->increment	0
TOP.59f25b65.00047e02	user_options->increment_max	54
TOP.59f25b65.00047e02	user_options->increment_min	1
TOP.59f25b65.00047e02	user_options->keep_guessing	0
TOP.59f25b65.00047e02	user_options->kernel_accel	0
TOP.59f25b65.00047e02	user_options->kernel_loops	0
TOP.59f25b65.00047e02	user_options->keyspace	0
TOP.59f25b65.00047e02	user_options->left	0
TOP.59f25b65.00047e02	user_options->logfile_disable	0
TOP.59f25b65.00047e02	user_options->loopback	0
TOP.59f25b65.00047e02	user_options->machine_readable	0
TOP.59f25b65.00047e02	user_options->markov_classic	0
TOP.59f25b65.00047e02	user_options->markov_disable	0
TOP.59f25b65.00047e02	user_options->markov_threshold	256
TOP.59f25b65.00047e02	user_options->nvidia_spin_damp	100
TOP.59f25b65.00047e02	user_options->opencl_info	0
TOP.59f25b65.00047e02	user_options->opencl_vector_width	0
TOP.59f25b65.00047e02	user_options->outfile_autohex	1
TOP.59f25b65.00047e02	user_options->outfile_check_timer	5
TOP.59f25b65.00047e02	user_options->outfile_format	3
TOP.59f25b65.00047e02	user_options->potfile_disable	0
TOP.59f25b65.00047e02	user_options->powertune_enable	0
TOP.59f25b65.00047e02	user_options->quiet	0
TOP.59f25b65.00047e02	user_options->remove	0
TOP.59f25b65.00047e02	user_options->remove_timer	60
TOP.59f25b65.00047e02	user_options->restore	0
TOP.59f25b65.00047e02	user_options->restore_disable	0
TOP.59f25b65.00047e02	user_options->restore_timer	60
TOP.59f25b65.00047e02	user_options->rp_files_cnt	0
TOP.59f25b65.00047e02	user_options->rp_gen	0
TOP.59f25b65.00047e02	user_options->rp_gen_func_max	4
TOP.59f25b65.00047e02	user_options->rp_gen_func_min	1
TOP.59f25b65.00047e02	user_options->rp_gen_seed	0
TOP.59f25b65.00047e02	user_options->runtime	0
TOP.59f25b65.00047e02	user_options->scrypt_tmto	0
TOP.59f25b65.00047e02	user_options->segment_size	33554432
TOP.59f25b65.00047e02	user_options->show	0
TOP.59f25b65.00047e02	user_options->status	0
TOP.59f25b65.00047e02	user_options->status_timer	10
TOP.59f25b65.00047e02	user_options->stdout_flag	0
TOP.59f25b65.00047e02	user_options->speed_only	0
TOP.59f25b65.00047e02	user_options->progress_only	0
TOP.59f25b65.00047e02	user_options->usage	0
TOP.59f25b65.00047e02	user_options->username	0
TOP.59f25b65.00047e02	user_options->veracrypt_pim	0
TOP.59f25b65.00047e02	user_options->version	0
TOP.59f25b65.00047e02	user_options->weak_hash_threshold	100
TOP.59f25b65.00047e02	user_options->workload_profile	2
TOP.59f25b65.00047e02	proc_start	1509055333
TOP.59f25b65.00047e02	proc_stop	1509055333
TOP.59f25b65.00047e02	STOP
TOP.59f25bf0.000595d2	START
TOP.59f25bf0.000595d2	user_options->separator	:
TOP.59f25bf0.000595d2	user_options->encoding_from	utf-8
TOP.59f25bf0.000595d2	user_options->encoding_to	utf-8
TOP.59f25bf0.000595d2	user_options->rule_buf_l	:
TOP.59f25bf0.000595d2	user_options->rule_buf_r	:
TOP.59f25bf0.000595d2	user_options->session	hashcat
TOP.59f25bf0.000595d2	user_options->limit	0
TOP.59f25bf0.000595d2	user_options->skip	0
TOP.59f25bf0.000595d2	user_options->attack_mode	7
TOP.59f25bf0.000595d2	user_options->benchmark	0
TOP.59f25bf0.000595d2	user_options->bitmap_max	24
TOP.59f25bf0.000595d2	user_options->bitmap_min	16
TOP.59f25bf0.000595d2	user_options->debug_mode	0
TOP.59f25bf0.000595d2	user_options->force	0
TOP.59f25bf0.000595d2	user_options->gpu_temp_abort	90
TOP.59f25bf0.000595d2	user_options->gpu_temp_disable	0
TOP.59f25bf0.000595d2	user_options->gpu_temp_retain	0
TOP.59f25bf0.000595d2	user_options->hash_mode	0
TOP.59f25bf0.000595d2	user_options->hex_charset	0
TOP.59f25bf0.000595d2	user_options->hex_salt	0
TOP.59f25bf0.000595d2	user_options->hex_wordlist	0
TOP.59f25bf0.000595d2	user_options->increment	0
TOP.59f25bf0.000595d2	user_options->increment_max	54
TOP.59f25bf0.000595d2	user_options->increment_min	1
TOP.59f25bf0.000595d2	user_options->keep_guessing	0
TOP.59f25bf0.000595d2	user_options->kernel_accel	0
TOP.59f25bf0.000595d2	user_options->kernel_loops	0
TOP.59f25bf0.000595d2	user_options->keyspace	0
TOP.59f25bf0.000595d2	user_options->left	0
TOP.59f25bf0.000595d2	user_options->logfile_disable	0
TOP.59f25bf0.000595d2	user_options->loopback	0
TOP.59f25bf0.000595d2	user_options->machine_readable	0
TOP.59f25bf0.000595d2	user_options->markov_classic	0
TOP.59f25bf0.000595d2	user_options->markov_disable	0
TOP.59f25bf0.000595d2	user_options->markov_threshold	32
TOP.59f25bf0.000595d2	user_options->nvidia_spin_damp	100
TOP.59f25bf0.000595d2	user_options->opencl_info	0
TOP.59f25bf0.000595d2	user_options->opencl_vector_width	0
TOP.59f25bf0.000595d2	user_options->outfile_autohex	1
TOP.59f25bf0.000595d2	user_options->outfile_check_timer	5
TOP.59f25bf0.000595d2	user_options->outfile_format	3
TOP.59f25bf0.000595d2	user_options->potfile_disable	0
TOP.59f25bf0.000595d2	user_options->powertune_enable	0
TOP.59f25bf0.000595d2	user_options->quiet	0
TOP.59f25bf0.000595d2	user_options->remove	0
TOP.59f25bf0.000595d2	user_options->remove_timer	60
TOP.59f25bf0.000595d2	user_options->restore	0
TOP.59f25bf0.000595d2	user_options->restore_disable	0
TOP.59f25bf0.000595d2	user_options->restore_timer	60
TOP.59f25bf0.000595d2	user_options->rp_files_cnt	0
TOP.59f25bf0.000595d2	user_options->rp_gen	0
TOP.59f25bf0.000595d2	user_options->rp_gen_func_max	4
TOP.59f25bf0.000595d2	user_options->rp_gen_func_min	1
TOP.59f25bf0.000595d2	user_options->rp_gen_seed	0
TOP.59f25bf0.000595d2	user_options->runtime	0
TOP.59f25bf0.000595d2	user_options->scrypt_tmto	0
TOP.59f25bf0.000595d2	user_options->segment_size	33554432
TOP.59f25bf0.000595d2	user_options->show	0
TOP.59f25bf0.000595d2	user_options->status	0
TOP.59f25bf0.000595d2	user_options->status_timer	10
TOP.59f25bf0.000595d2	user_options->stdout_flag	0
TOP.59f25bf0.000595d2	user_options->speed_only	0
TOP.59f25bf0.000595d2	user_options->progress_only	0
TOP.59f25bf0.000595d2	user_options->usage	0
TOP.59f25bf0.000595d2	user_options->username	0
TOP.59f25bf0.000595d2	user_options->veracrypt_pim	0
TOP.59f25bf0.000595d2	user_options->version	0
TOP.59f25bf0.000595d2	user_options->weak_hash_threshold	0
TOP.59f25bf0.000595d2	user_options->workload_profile	2
TOP.59f25bf0.000595d2	hashes->hashfile	example0.hash
TOP.59f25bf0.000595d2	hashes->hashlist_mode	4
TOP.59f25bf0.000595d2	hashes->hashlist_format	0
TOP.59f25bf0.000595d2	hashes->hashes_cnt	0
TOP.59f25bf0.000595d2	hashes->digests_cnt	6494
TOP.59f25bf0.000595d2	hashes->digests_done	0
TOP.59f25bf0.000595d2	hashes->salts_cnt	1
TOP.59f25bf0.000595d2	hashes->salts_done	0
TOP.59f25bf0.000595d2	SUB.59f25bf1.000e6254	START
TOP.59f25bf0.000595d2	SUB.59f25bf1.000e6254	straight_ctx->dict	example.dict
TOP.59f25bf0.000595d2	SUB.59f25bf1.000e6254	mask_ctx->mask	?a?a?a?a
TOP.59f25bf0.000595d2	SUB.59f25bf1.000e6254	runtime_start	1509055474
TOP.59f25bf0.000595d2	SUB.59f25bf1.000e6254	runtime_stop	1509055509
TOP.59f25bf0.000595d2	SUB.59f25bf1.000e6254	status-after-work	4
TOP.59f25bf0.000595d2	SUB.59f25bf1.000e6254	STOP
TOP.59f25bf0.000595d2	proc_start	1509055472
TOP.59f25bf0.000595d2	proc_stop	1509055511
TOP.59f25bf0.000595d2	STOP
TOP.59f25ca0.0009f2e8	START
TOP.59f25ca0.0009f2e8	user_options->separator	:
TOP.59f25ca0.0009f2e8	user_options->encoding_from	utf-8
TOP.59f25ca0.0009f2e8	user_options->encoding_to	utf-8
TOP.59f25ca0.0009f2e8	user_options->rule_buf_l	:
TOP.59f25ca0.0009f2e8	user_options->rule_buf_r	:
TOP.59f25ca0.0009f2e8	user_options->session	hashcat
TOP.59f25ca0.0009f2e8	user_options->limit	0
TOP.59f25ca0.0009f2e8	user_options->skip	0
TOP.59f25ca0.0009f2e8	user_options->attack_mode	7
TOP.59f25ca0.0009f2e8	user_options->benchmark	0
TOP.59f25ca0.0009f2e8	user_options->bitmap_max	24
TOP.59f25ca0.0009f2e8	user_options->bitmap_min	16
TOP.59f25ca0.0009f2e8	user_options->debug_mode	0
TOP.59f25ca0.0009f2e8	user_options->force	0
TOP.59f25ca0.0009f2e8	user_options->gpu_temp_abort	90
TOP.59f25ca0.0009f2e8	user_options->gpu_temp_disable	0
TOP.59f25ca0.0009f2e8	user_options->gpu_temp_retain	0
TOP.59f25ca0.0009f2e8	user_options->hash_mode	0
TOP.59f25ca0.0009f2e8	user_options->hex_charset	0
TOP.59f25ca0.0009f2e8	user_options->hex_salt	0
TOP.59f25ca0.0009f2e8	user_options->hex_wordlist	0
TOP.59f25ca0.0009f2e8	user_options->increment	0
TOP.59f25ca0.0009f2e8	user_options->increment_max	54
TOP.59f25ca0.0009f2e8	user_options->increment_min	1
TOP.59f25ca0.0009f2e8	user_options->keep_guessing	0
TOP.59f25ca0.0009f2e8	user_options->kernel_accel	0
TOP.59f25ca0.0009f2e8	user_options->kernel_loops	0
TOP.59f25ca0.0009f2e8	user_options->keyspace	0
TOP.59f25ca0.0009f2e8	user_options->left	0
TOP.59f25ca0.0009f2e8	user_options->logfile_disable	0
TOP.59f25ca0.0009f2e8	user_options->loopback	0
TOP.59f25ca0.0009f2e8	user_options->machine_readable	0
TOP.59f25ca0.0009f2e8	user_options->markov_classic	0
TOP.59f25ca0.0009f2e8	user_options->markov_disable	0
TOP.59f25ca0.0009f2e8	user_options->markov_threshold	32
TOP.59f25ca0.0009f2e8	user_options->nvidia_spin_damp	100
TOP.59f25ca0.0009f2e8	user_options->opencl_info	0
TOP.59f25ca0.0009f2e8	user_options->opencl_vector_width	0
TOP.59f25ca0.0009f2e8	user_options->outfile_autohex	1
TOP.59f25ca0.0009f2e8	user_options->outfile_check_timer	5
TOP.59f25ca0.0009f2e8	user_options->outfile_format	3
TOP.59f25ca0.0009f2e8	user_options->potfile_disable	0
TOP.59f25ca0.0009f2e8	user_options->powertune_enable	0
TOP.59f25ca0.0009f2e8	user_options->quiet	0
TOP.59f25ca0.0009f2e8	user_options->remove	0
TOP.59f25ca0.0009f2e8	user_options->remove_timer	60
TOP.59f25ca0.0009f2e8	user_options->restore	0
TOP.59f25ca0.0009f2e8	user_options->restore_disable	0
TOP.59f25ca0.0009f2e8	user_options->restore_timer	60
TOP.59f25ca0.0009f2e8	user_options->rp_files_cnt	0
TOP.59f25ca0.0009f2e8	user_options->rp_gen	0
TOP.59f25ca0.0009f2e8	user_options->rp_gen_func_max	4
TOP.59f25ca0.0009f2e8	user_options->rp_gen_func_min	1
TOP.59f25ca0.0009f2e8	user_options->rp_gen_seed	0
TOP.59f25ca0.0009f2e8	user_options->runtime	0
TOP.59f25ca0.0009f2e8	user_options->scrypt_tmto	0
TOP.59f25ca0.0009f2e8	user_options->segment_size	33554432
TOP.59f25ca0.0009f2e8	user_options->show	0
TOP.59f25ca0.0009f2e8	user_options->status	0
TOP.59f25ca0.0009f2e8	user_options->status_timer	10
TOP.59f25ca0.0009f2e8	user_options->stdout_flag	0
TOP.59f25ca0.0009f2e8	user_options->speed_only	0
TOP.59f25ca0.0009f2e8	user_options->progress_only	0
TOP.59f25ca0.0009f2e8	user_options->usage	0
TOP.59f25ca0.0009f2e8	user_options->username	0
TOP.59f25ca0.0009f2e8	user_options->veracrypt_pim	0
TOP.59f25ca0.0009f2e8	user_options->version	0
TOP.59f25ca0.0009f2e8	user_options->weak_hash_threshold	0
TOP.59f25ca0.0009f2e8	user_options->workload_profile	2
TOP.59f25ca0.0009f2e8	hashes->hashfile	example0.hash
TOP.59f25ca0.0009f2e8	hashes->hashlist_mode	4
TOP.59f25ca0.0009f2e8	hashes->hashlist_format	0
TOP.59f25ca0.0009f2e8	hashes->hashes_cnt	0
TOP.59f25ca0.0009f2e8	hashes->digests_cnt	6494
TOP.59f25ca0.0009f2e8	hashes->digests_done	2217
TOP.59f25ca0.0009f2e8	hashes->salts_cnt	1
TOP.59f25ca0.0009f2e8	hashes->salts_done	0
TOP.59f25ca0.0009f2e8	SUB.59f25ca1.000749c4	START
TOP.59f25ca0.0009f2e8	SUB.59f25ca1.000749c4	straight_ctx->dict	example.dict
TOP.59f25ca0.0009f2e8	SUB.59f25ca1.000749c4	mask_ctx->mask	?a?a?a?a
TOP.59f25ca0.0009f2e8	SUB.59f25ca1.000749c4	runtime_start	1509055649
TOP.59f25ca0.0009f2e8	SUB.59f25ca1.000749c4	runtime_stop	1509055678
TOP.59f25ca0.0009f2e8	SUB.59f25ca1.000749c4	status-after-work	7
TOP.59f25ca0.0009f2e8	SUB.59f25ca1.000749c4	STOP
TOP.59f25ca0.0009f2e8	proc_start	1509055648
TOP.59f25ca0.0009f2e8	proc_stop	1509055679
TOP.59f25ca0.0009f2e8	STOP
TOP.59f31a4c.000694c8	START
TOP.59f31a4c.000694c8	user_options->separator	:
TOP.59f31a4c.000694c8	user_options->encoding_from	utf-8
TOP.59f31a4c.000694c8	user_options->encoding_to	utf-8
TOP.59f31a4c.000694c8	user_options->rule_buf_l	:
TOP.59f31a4c.000694c8	user_options->rule_buf_r	:
TOP.59f31a4c.000694c8	user_options->session	hashcat
TOP.59f31a4c.000694c8	user_options->limit	0
TOP.59f31a4c.000694c8	user_options->skip	0
TOP.59f31a4c.000694c8	user_options->attack_mode	3
TOP.59f31a4c.000694c8	user_options->benchmark	0
TOP.59f31a4c.000694c8	user_options->bitmap_max	24
TOP.59f31a4c.000694c8	user_options->bitmap_min	16
TOP.59f31a4c.000694c8	user_options->debug_mode	0
TOP.59f31a4c.000694c8	user_options->force	0
TOP.59f31a4c.000694c8	user_options->gpu_temp_abort	90
TOP.59f31a4c.000694c8	user_options->gpu_temp_disable	0
TOP.59f31a4c.000694c8	user_options->gpu_temp_retain	0
TOP.59f31a4c.000694c8	user_options->hash_mode	0
TOP.59f31a4c.000694c8	user_options->hex_charset	0
TOP.59f31a4c.000694c8	user_options->hex_salt	0
TOP.59f31a4c.000694c8	user_options->hex_wordlist	0
TOP.59f31a4c.000694c8	user_options->increment	1
TOP.59f31a4c.000694c8	user_options->increment_max	10
TOP.59f31a4c.000694c8	user_options->increment_min	3
TOP.59f31a4c.000694c8	user_options->keep_guessing	0
TOP.59f31a4c.000694c8	user_options->kernel_accel	0
TOP.59f31a4c.000694c8	user_options->kernel_loops	0
TOP.59f31a4c.000694c8	user_options->keyspace	0
TOP.59f31a4c.000694c8	user_options->left	0
TOP.59f31a4c.000694c8	user_options->logfile_disable	0
TOP.59f31a4c.000694c8	user_options->loopback	0
TOP.59f31a4c.000694c8	user_options->machine_readable	0
TOP.59f31a4c.000694c8	user_options->markov_classic	0
TOP.59f31a4c.000694c8	user_options->markov_disable	0
TOP.59f31a4c.000694c8	user_options->markov_threshold	256
TOP.59f31a4c.000694c8	user_options->nvidia_spin_damp	100
TOP.59f31a4c.000694c8	user_options->opencl_info	0
TOP.59f31a4c.000694c8	user_options->opencl_vector_width	0
TOP.59f31a4c.000694c8	user_options->outfile_autohex	1
TOP.59f31a4c.000694c8	user_options->outfile_check_timer	5
TOP.59f31a4c.000694c8	user_options->outfile_format	3
TOP.59f31a4c.000694c8	user_options->potfile_disable	0
TOP.59f31a4c.000694c8	user_options->powertune_enable	0
TOP.59f31a4c.000694c8	user_options->quiet	0
TOP.59f31a4c.000694c8	user_options->remove	0
TOP.59f31a4c.000694c8	user_options->remove_timer	60
TOP.59f31a4c.000694c8	user_options->restore	0
TOP.59f31a4c.000694c8	user_options->restore_disable	0
TOP.59f31a4c.000694c8	user_options->restore_timer	60
TOP.59f31a4c.000694c8	user_options->rp_files_cnt	0
TOP.59f31a4c.000694c8	user_options->rp_gen	0
TOP.59f31a4c.000694c8	user_options->rp_gen_func_max	4
TOP.59f31a4c.000694c8	user_options->rp_gen_func_min	1
TOP.59f31a4c.000694c8	user_options->rp_gen_seed	0
TOP.59f31a4c.000694c8	user_options->runtime	0
TOP.59f31a4c.000694c8	user_options->scrypt_tmto	0
TOP.59f31a4c.000694c8	user_options->segment_size	33554432
TOP.59f31a4c.000694c8	user_options->show	0
TOP.59f31a4c.000694c8	user_options->status	0
TOP.59f31a4c.000694c8	user_options->status_timer	10
TOP.59f31a4c.000694c8	user_options->stdout_flag	0
TOP.59f31a4c.000694c8	user_options->speed_only	0
TOP.59f31a4c.000694c8	user_options->progress_only	0
TOP.59f31a4c.000694c8	user_options->usage	0
TOP.59f31a4c.000694c8	user_options->username	0
TOP.59f31a4c.000694c8	user_options->veracrypt_pim	0
TOP.59f31a4c.000694c8	user_options->version	0
TOP.59f31a4c.000694c8	user_options->weak_hash_threshold	0
TOP.59f31a4c.000694c8	user_options->workload_profile	2
TOP.59f31a4c.000694c8	hashes->hashfile	example0.hash
TOP.59f31a4c.000694c8	hashes->hashlist_mode	4
TOP.59f31a4c.000694c8	hashes->hashlist_format	0
TOP.59f31a4c.000694c8	hashes->hashes_cnt	0
TOP.59f31a4c.000694c8	hashes->digests_cnt	6494
TOP.59f31a4c.000694c8	hashes->digests_done	2217
TOP.59f31a4c.000694c8	hashes->salts_cnt	1
TOP.59f31a4c.000694c8	hashes->salts_done	0
TOP.59f31a4c.000694c8	SUB.59f31a4d.000cd16f	START
TOP.59f31a4c.000694c8	SUB.59f31a4d.000cd16f	mask_ctx->mask	?a?a?a
TOP.59f31a4c.000694c8	SUB.59f31a4d.000cd16f	runtime_start	1509104206
TOP.59f31a4c.000694c8	SUB.59f31a4d.000cd16f	runtime_stop	1509104206
TOP.59f31a4c.000694c8	SUB.59f31a4d.000cd16f	status-after-work	4
TOP.59f31a4c.000694c8	SUB.59f31a4d.000cd16f	STOP
TOP.59f31a4c.000694c8	SUB.59f31a4e.00016933	START
TOP.59f31a4c.000694c8	SUB.59f31a4e.00016933	mask_ctx->mask	?a?a?a?a
TOP.59f31a4c.000694c8	SUB.59f31a4e.00016933	runtime_start	1509104206
TOP.59f31a4c.000694c8	SUB.59f31a4e.00016933	runtime_stop	1509104206
TOP.59f31a4c.000694c8	SUB.59f31a4e.00016933	status-after-work	4
TOP.59f31a4c.000694c8	SUB.59f31a4e.00016933	STOP
TOP.59f31a4c.000694c8	SUB.59f31a4e.0004accd	START
TOP.59f31a4c.000694c8	SUB.59f31a4e.0004accd	mask_ctx->mask	?a?a?a?a?a
TOP.59f31a4c.000694c8	SUB.59f31a4e.0004accd	runtime_start	1509104206
TOP.59f31a4c.000694c8	SUB.59f31a4e.0004accd	runtime_stop	1509104208
TOP.59f31a4c.000694c8	SUB.59f31a4e.0004accd	status-after-work	4
TOP.59f31a4c.000694c8	SUB.59f31a4e.0004accd	STOP
TOP.59f31a4c.000694c8	SUB.59f31a50.00005a9c	START
TOP.59f31a4c.000694c8	SUB.59f31a50.00005a9c	mask_ctx->mask	?a?a?a?a?a?a
TOP.59f31a4c.000694c8	SUB.59f31a50.00005a9c	runtime_start	1509104208
TOP.59f31a4c.000694c8	SUB.59f31a50.00005a9c	runtime_stop	1509104322
TOP.59f31a4c.000694c8	SUB.59f31a50.00005a9c	status-after-work	4
TOP.59f31a4c.000694c8	SUB.59f31a50.00005a9c	STOP
TOP.59f31a4c.000694c8	SUB.59f31ac2.0003addf	START
TOP.59f31a4c.000694c8	SUB.59f31ac2.0003addf	mask_ctx->mask	?a?a?a?a?a?a?a
TOP.59f31a4c.000694c8	SUB.59f31ac2.0003addf	runtime_start	1509104322
TOP.59f31a4c.000694c8	SUB.59f31ac2.0003addf	runtime_stop	1509115264
TOP.59f31a4c.000694c8	SUB.59f31ac2.0003addf	status-after-work	4
TOP.59f31a4c.000694c8	SUB.59f31ac2.0003addf	STOP
TOP.59f31a4c.000694c8	SUB.59f34580.000a3c04	START
TOP.59f31a4c.000694c8	SUB.59f34580.000a3c04	mask_ctx->mask	?a?a?a?a?a?a?a?a
TOP.59f31a4c.000694c8	SUB.59f34580.000a3c04	runtime_start	1509115264
TOP.59f31a4c.000694c8	SUB.59f34580.000a3c04	runtime_stop	1509116827
TOP.59f31a4c.000694c8	SUB.59f34580.000a3c04	status-after-work	7
TOP.59f31a4c.000694c8	SUB.59f34580.000a3c04	STOP
TOP.59f31a4c.000694c8	proc_start	1509104204
TOP.59f31a4c.000694c8	proc_stop	1509116829
TOP.59f31a4c.000694c8	STOP
